Annonce,Prix,Localisation,Configuration des pièces,Type de bien,Type de transaction,Superficie,Salles de bains,Chambres,Autre
"Appartement (A1-2) en S+2 de 108,25m² au premier étage",578705,Tunis,S+2,Appartement,À Vendre,578705,2,2,Climatisation
"Appartement (A1-4) en S+2 de 125,56m² au premier étage",666728,Tunis,S+2,Appartement,À Vendre,125.56,2,2,Climatisation
"Appartement (C1-1) en S+4 de 250,44m² au premier étage",1273457,Tunis,S+4,Appartement,À Vendre,250.44,4,4,Climatisation
"Duplex C9-1 en 2S+6 de 446,16 m² au 9éme étage",2600000,Tunis,S+6,Duplexe,À Vendre,446.16,6,6,Climatisation
"un Penthouse en S+5( A9-1) de 412,14m² à Jardins de Carthage",2300000,Tunis,S+5,Penthouse,À Vendre,412.14,5,6,Terrasse
"Appartement (I11) en S+2 de 123,27m² au premier étage",491499,Ariana,S+2,Appartement,À Vendre,123.27,1,2,Climatisation
"Duplex B05 en S+3 de 176,7 m² au RDC",509100,Ariana,S+3,Duplexe,À Vendre,176.7,3,3,Celliers
"A vendre un appartement S+2  de 112,75 m²  au 4éme étage",575000,Nabeul,S+2,Appartement,À Vendre,112.75,2,2,Vue sur mer
"Appartement (G03) en S+2 de 108,07m² au RDC",531049,Ariana,S+2,Appartement,À Vendre,108.07,1,2,Climatisation
"A vendre un appartement S+1  de 72,28 m²  au RDC",350000,Nabeul,S+1,Appartement,À Vendre,72.28,1,2,salle de sport
"A vendre un appartement S+1  de 59,85 m²  au 2éme étage",280000,Nabeul,S+1,Appartement,À Vendre,59.85,1,1,Vue sur mer
Un S+2 de 118.45m² au 5éme étage,,Sousse,S+2,Appartement,À Vendre,118.45,,,Chauffage central
"Duplex B9-2 en S+4 de 361,86 m² au 9éme étage",2000000,Tunis,S+4,Duplexe,À Vendre,361.86,5,4,Jardin privatif
"Appartement (B1-2) en S+2 de 110,30m² au premier étage",589111,Tunis,S+2,Appartement,À Vendre,110.30,2,2,Climatisation
"Appartement (C1-3) en S+3 de 170,29m² au premier étage",874950,Tunis,S+3,Appartement,À Vendre,170.29,3,3,Climatisation
"Duplex C9-2 en S+4 de 361,86 m² au 9éme étage",2000000,Tunis,S+4,Duplexe,À Vendre,361.86,5,5,Climatisation
"un Penthouse en S+5( A10-1) de 412,14m² à Jardins de Carthage",2300000,Tunis,S+5,Penthouse,À Vendre,412.14,6,5,salle de sport
"Appartement (G15) en S+3 de 152,40m² au premier étage",584540,Ariana,S+3,Appartement,À Vendre,152.40,2,3,salle de sport
"Appartement (I03) en S+3 de 144,18m² au RDC",809831,Ariana,S+3,Appartement,À Vendre,144.18,2,3,salle de sport
"Appartement (H25) en S+2 de 98,92m² au deuxième étage",399322,Ariana,S+2,Appartement,À Vendre,98.92,1,2,Ascenseur
"A vendre un appartement S+3  de 108,21 m²  au 4éme étage",500000,Nabeul,S+3,Appartement,À Vendre,108.21,2,3,Vue sur mer
"Appartement (A1-1) en S+1 de 55,48m² au premier étage",316613,Tunis,S+1,Appartement,À Vendre,55.48,1,1,Climatisation
Une Villa de 354.07m²,,Ariana,,Villa,À Vendre,354.07,,4,Chauffage central
Une Villa de 339.07m²,,Ariana,,Villa,À Vendre,,,3,Chauffage central
Une Villa de 346.52m²,,Ariana,,Villa,À Vendre,346.52,,4,Chauffage central
Une Villa de 365.05m²,,Ariana,,Villa,À Vendre,365.05,,4,Chauffage central
Une Villa de 514.32m²,,Ariana,,Villa,À Vendre,514.32,,5,Chauffage central
Une Villa de 367.64m²,,Ariana,,Villa,À Vendre,367.64,,4,Chauffage central
Une Villa de 367.64m²,,Ariana,,Villa,À Vendre,367.64,,4,Chauffage central
Une Villa de 515.50m²,,Ariana,,Villa,À Vendre,515.50,,5,Chauffage central
Appartement S2 hammam lif,135 000 DT,Vente - Appartements,Non spécifié
Super apprt S4 à Ennasr 2,600 000 DT,Vente - Appartements,Non spécifié
Appartement S1 à Bhar Lazreg,90 000 DT,Vente - Appartements,Non spécifié
Appartement S2 à Bhar Lazreg,100 000 DT,Vente - Appartements,Non spécifié
Appartement S+2 de 100 m² avec terrasse à Bhar Lazreg,120 000 DT,Vente - Appartements,S+2
Appartement 2chambres et salon,145 000 DT,Vente - Appartements,Non spécifié
Très beau appart S3 au jardin de carthage,916 000 DT,Vente - Appartements,Non spécifié
Très luxueux appartement S2 meublé à Soukra parc,550 000 DT,Vente - Appartements,Non spécifié
A vendre des appartements neufs FOPROLOS,175 639 DT,Vente - Appartements,Non spécifié
A vendre des appartements neufs Foprolos 2,142 598 DT,Vente - Appartements,Non spécifié
Duplex S+1 avec terrasse à Ain Zaghouan Nord MAV1520,345 000 DT,Vente - Appartements,S+1
Appartement S+3 à La Soukra MAV1668,650 000 DT,Vente - Appartements,S+3
Duplex S+2 de 140m² - Ain Zaghouen nord,620 000 DT,Vente - Appartements,S+2
Appartement S+4 à La Soukra  MAV1393,430 000 DT,Vente - Appartements,S+4
Vente S+3 à Jardin Aouina,370 000 DT,Vente - Appartements,S+3
Appartements,130 DT,Vente - Appartements,Non spécifié
S+3 de 178m² - les berges du Lac 2,1 250 000 DT,Vente - Appartements,S+3
S+2 de 110m² - Les Jardins de Carthage,480 000 DT,Vente - Appartements,S+2
Appartement S+4 à Ain Zaghouan El Wahat MAV1432,485 000 DT,Vente - Appartements,S+4
Appartement haut standing à riadh andalous ghazela,170 000 DT,Vente - Appartements,Non spécifié
Appartement S+4 à Ain Zaghouan Nord ZAV1585,750 000 DT,Vente - Appartements,S+4
Duplex s+3 à Jardins de l'aouina,520 000 000 DT,Vente - Appartements,Non spécifié
Un joli à vendre duplex au Manar,550 000 DT,Vente - Appartements,Non spécifié
S+3 à vendre les Berges du Lac 2,950 000 DT,Vente - Appartements,S+3
Vente appartement s+3 avec jardin et 2 places parking,420 DT,Vente - Appartements,Non spécifié
Très luxueux appartement S2 au jardin de Carthage,850 000 DT,Vente - Appartements,Non spécifié
A Vendre des appartement de luxe,Prix non spécifié,Vente - Appartements,Non spécifié
A Vendre des appartements de luxe,Prix non spécifié,Vente - Appartements,Non spécifié
Appartement salon et 2 chambres,185 000 DT,Vente - Appartements,Non spécifié
Appartement LOUIZA (Réf: V810),430 000 DT,Vente - Appartements,Non spécifié
Appartement S2 hammam lif,135 000 DT,Vente - Appartements,Non spécifié
Super apprt S4 à Ennasr 2,600 000 DT,Vente - Appartements,Non spécifié
Appartement S1 à Bhar Lazreg,90 000 DT,Vente - Appartements,Non spécifié
Appartement S2 à Bhar Lazreg,100 000 DT,Vente - Appartements,Non spécifié
Appartement S+2 de 100 m² avec terrasse à Bhar Lazreg,120 000 DT,Vente - Appartements,S+2
Appartement 2chambres et salon,145 000 DT,Vente - Appartements,Non spécifié
Très beau appart S3 au jardin de carthage,916 000 DT,Vente - Appartements,Non spécifié
Très luxueux appartement S2 meublé à Soukra parc,550 000 DT,Vente - Appartements,Non spécifié
A vendre des appartements neufs FOPROLOS,175 639 DT,Vente - Appartements,Non spécifié
A vendre des appartements neufs Foprolos 2,142 598 DT,Vente - Appartements,Non spécifié
Duplex S+1 avec terrasse à Ain Zaghouan Nord MAV1520,345 000 DT,Vente - Appartements,S+1
Appartement S+3 à La Soukra MAV1668,650 000 DT,Vente - Appartements,S+3
Duplex S+2 de 140m² - Ain Zaghouen nord,620 000 DT,Vente - Appartements,S+2
Appartement S+4 à La Soukra  MAV1393,430 000 DT,Vente - Appartements,S+4
